Company,Time Period,Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
Revolut,Six Months,EASY,Binary Tree Paths,88.3,0.662712102,https://leetcode.com/problems/binary-tree-paths,"String, Backtracking, Tree, Depth-First Search, Binary Tree"
Google,All,EASY,Binary Tree Postorder Traversal,22.9,0.754136945,https://leetcode.com/problems/binary-tree-postorder-traversal,"Stack, Tree, Depth-First Search, Binary Tree"
Yahoo,More Than Six Months,EASY,Binary Tree Preorder Traversal,33.8,0.728760376,https://leetcode.com/problems/binary-tree-preorder-traversal,"Stack, Tree, Depth-First Search, Binary Tree"
Hulu,More Than Six Months,MEDIUM,Binary Tree Pruning,100.0,0.723417404,https://leetcode.com/problems/binary-tree-pruning,"Tree, Depth-First Search, Binary Tree"
Synopsys,More Than Six Months,MEDIUM,Binary Tree Right Side View,100.0,0.665735971,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
Indeed,More Than Six Months,EASY,Binary Tree Tilt,89.1,0.638492191,https://leetcode.com/problems/binary-tree-tilt,"Tree, Depth-First Search, Binary Tree"
LinkedIn,Six Months,MEDIUM,Binary Tree Upside Down,62.9,0.643953448,https://leetcode.com/problems/binary-tree-upside-down,"Tree, Depth-First Search, Binary Tree"
Meta,Three Months,MEDIUM,Binary Tree Vertical Order Traversal,94.0,0.569823151,https://leetcode.com/problems/binary-tree-vertical-order-traversal,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
Sigmoid,More Than Six Months,MEDIUM,Binary Tree Zigzag Level Order Traversal,88.4,0.614258424,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
Google,More Than Six Months,MEDIUM,Bitwise AND of Numbers Range,22.2,0.476416167,https://leetcode.com/problems/bitwise-and-of-numbers-range,Bit Manipulation
Zomato,More Than Six Months,MEDIUM,Bitwise OR of All Subsequence Sums,73.1,0.649569977,https://leetcode.com/problems/bitwise-or-of-all-subsequence-sums,"Array, Math, Bit Manipulation, Brainteaser"
tcs,More Than Six Months,MEDIUM,Bitwise ORs of Subarrays,55.6,0.405825743,https://leetcode.com/problems/bitwise-ors-of-subarrays,"Array, Dynamic Programming, Bit Manipulation"
